order_id,date,customer_id,age,gender,city,region,income,category,subcategory,price,quantity,discount_percent,final_amount,payment_method,customer_segment,marketing_campaign,marketing_channel,device_type,shipping_method,satisfaction_rating,returned,acquisition_source,customer_lifetime_value,retention_score,month,year,day_of_week,quarter,season,registration_date,days_since_registration,Average Order Value,revenue_per_customer,discount_amount,gross_revenue,net_revenue,roi,conversion_rate
ORD010044,2022-01-20,CUST02284,36,Male,Cairo,Greater Cairo,13226,Clothing,Womens,855,3,0,2565.0,Credit Card,Premium,No Campaign,Outdoor,Mobile,Next Day,3.5,False,Affiliate,27702.0,56.0,1,2022,Thursday,Q1,Winter,2021-07-01,203,855.0,0.8601609657947686,0.0,2565,2565.0,inf,8
ORD010045,2021-05-04,CUST02131,61,Male,Port Said,Suez Canal,9452,Automotive,Electronics,1286,3,0,3858.0,Credit Card,Premium,No Campaign,Email,Mobile,Express,4.1,False,Influencer,189813.6,87.0,5,2021,Tuesday,Q2,Spring,2021-02-05,88,1286.0,1.2937625754527162,0.0,3858,3858.0,inf,5
ORD010046,2023-07-10,CUST01265,59,Female,Ismailia,Suez Canal,9394,Travel,Accessories,2931,2,31,4044.78,Credit Card,Premium,Summer Sale,Print,Desktop,Next Day,4.3,False,Influencer,174734.5,69.0,7,2023,Monday,Q3,Summer,2021-06-07,763,2022.39,1.3563983903420525,908.61,5862,4044.78,3.4516129032258065,3
ORD010047,2023-09-22,CUST00827,35,Male,Luxor,Upper Egypt,6886,Beauty,Hair Care,445,8,19,2883.6,Buy Now Pay Later,Budget,Flash Sale,Direct,Tablet,Express,4.1,False,Event,72666.72,67.0,9,2023,Friday,Q3,Fall,2021-11-12,679,360.45,0.9670020120724345,84.55,3560,2883.6,33.10526315789473,6
ORD010048,2023-06-08,CUST01168,62,Female,Sohag,Upper Egypt,6805,Electronics,Smartphones,4520,3,13,11797.2,Cash on Delivery,Budget,Summer Sale,Mobile App,Mobile,Standard,3.5,False,Print Ad,594578.88,69.0,6,2023,Thursday,Q2,Summer,2021-10-27,589,3932.4,3.9561368209255536,587.6,13560,11797.2,19.076923076923077,6
ORD010049,2024-01-24,CUST00516,53,Male,Alexandria,Alexandria,12924,Travel,Electronics,353,2,43,402.42,Digital Wallet,VIP,New Year,Radio,Mobile,Express,3.7,False,Organic Search,16418.74,56.0,1,2024,Wednesday,Q1,Winter,2021-09-13,863,201.21,0.13494969818913483,151.79,706,402.42,1.6511627906976747,6
ORD010050,2023-04-08,CUST00070,68,Female,Aswan,Upper Egypt,5687,Travel,Luggage,573,3,38,1065.78,Credit Card,Regular,Spring Sale,Social Media,Mobile,Store Pickup,3.7,False,TV Ad,44762.76,64.0,4,2023,Saturday,Q2,Spring,2021-05-30,678,355.26,0.3574044265593561,217.74,1719,1065.78,3.894736842105263,5
ORD010051,2023-10-15,CUST02067,66,Female,Aswan,Upper Egypt,8333,Travel,Accessories,1925,1,17,1597.75,Cash on Delivery,Regular,Flash Sale,Affiliate,Mobile,Standard,4.4,False,TV Ad,86278.5,83.0,10,2023,Sunday,Q4,Fall,2021-08-29,777,1597.75,0.5357981220657277,327.25,1925,1597.75,3.8823529411764706,11
ORD010052,2022-03-27,CUST02567,67,Female,Luxor,Upper Egypt,8666,Beauty,Hair Care,544,8,27,3176.96,Mobile Payment,Premium,Mother Day,Outdoor,Tablet,Express,4.5,False,TV Ad,60997.63,65.0,3,2022,Sunday,Q1,Spring,2021-05-10,321,397.12,1.0653789403085179,146.88,4352,3176.96,20.62962962962963,5
ORD010053,2023-05-11,CUST02730,50,Female,Aswan,Upper Egypt,6297,Health,Pharmacy,967,2,40,1160.4,Bank Transfer,Budget,Flash Sale,Print,Mobile,Store Pickup,3.4,False,Organic Search,61269.12,56.0,5,2023,Thursday,Q2,Spring,2021-04-26,745,580.2,0.38913480885311874,386.8,1934,1160.4,2.0000000000000004,6
ORD010054,2022-03-14,CUST01552,69,Female,Tanta,Delta,8665,Travel,Gear,224,1,20,179.2,Credit Card,Regular,Mother Day,TV,Desktop,Store Pickup,4.4,False,Paid Search,5160.96,80.0,3,2022,Monday,Q1,Spring,2021-04-19,329,179.2,0.06009389671361502,44.8,224,179.2,2.9999999999999996,5
ORD010055,2023-01-18,CUST00251,66,Female,Suez,Suez Canal,7640,Travel,Gear,2005,3,24,4571.4,Debit Card,Regular,New Year,Direct,Tablet,Store Pickup,4.4,False,Direct,71313.84,89.0,1,2023,Wednesday,Q1,Winter,2021-09-24,481,1523.8,1.5329979879275653,481.2,6015,4571.4,8.5,6
ORD010056,2023-07-03,CUST00406,39,Male,Zagazig,Delta,5710,Home & Garden,Tools,2396,3,10,6469.2,Mobile Payment,Budget,Summer Sale,Referral,Mobile,Express,4.5,False,Influencer,318284.64,75.0,7,2023,Monday,Q3,Summer,2021-06-09,754,2156.4,2.169416498993964,239.6,7188,6469.2,26.0,6
ORD010057,2023-05-17,CUST00523,37,Female,Zagazig,Delta,4360,Home & Garden,Appliance,2287,3,0,6861.0,Cryptocurrency,First-time,No Campaign,Influencer,Mobile,Express,3.4,False,Referral,115264.8,72.0,5,2023,Wednesday,Q2,Spring,2021-10-24,570,2287.0,2.300804828973843,0.0,6861,6861.0,inf,3
ORD010058,2021-03-02,CUST01691,70,Female,Damanhur,Delta,5058,Travel,Luggage,1073,1,0,1073.0,Credit Card,Regular,No Campaign,Influencer,Tablet,Standard,4.0,False,Event,12876.0,58.0,3,2021,Tuesday,Q1,Spring,2021-02-26,4,1073.0,0.3598256203890007,0.0,1073,1073.0,inf,2
ORD010059,2023-10-17,CUST01253,53,Female,Port Said,Suez Canal,11931,Travel,Gear,861,2,0,1722.0,Credit Card,Regular,No Campaign,Social Media,Desktop,Standard,3.1,False,Print Ad,49593.6,44.0,10,2023,Tuesday,Q4,Fall,2021-10-17,730,861.0,0.5774647887323944,0.0,1722,1722.0,inf,6
ORD010060,2024-01-22,CUST00708,24,Male,Sharm El Sheikh,Red Sea,5634,Electronics,Cameras,4998,2,12,8796.48,Credit Card,Budget,New Year,Email,Mobile,Store Pickup,3.9,False,Influencer,527788.8,79.0,1,2024,Monday,Q1,Winter,2021-01-18,1099,4398.24,2.949859154929577,599.76,9996,8796.48,13.666666666666666,2
ORD010061,2023-07-21,CUST01175,42,Female,Giza,Greater Cairo,11170,Home & Garden,Kitchen,714,1,28,514.08,Digital Wallet,Premium,Summer Sale,Social Media,Voice Assistant,Next Day,4.8,False,Organic Search,17889.98,88.0,7,2023,Friday,Q3,Summer,2021-07-25,726,514.08,0.17239436619718312,199.92,714,514.08,1.5714285714285718,5
ORD010062,2023-12-22,CUST02647,40,Male,Cairo,Greater Cairo,12812,Software,Security,517,4,0,-2068.0,Credit Card,Premium,No Campaign,Direct,Mobile,Next Day,4.1,True,Organic Search,-52113.6,79.0,12,2023,Friday,Q4,Winter,2021-05-28,938,-517.0,-0.6934942991281019,0.0,2068,-2068.0,-inf,6
ORD010063,2021-09-27,CUST02712,26,Female,Giza,Greater Cairo,8045,Clothing,Shoes,217,2,39,264.74,Digital Wallet,Premium,Back to School,Mobile App,Mobile,Express,4.5,False,Referral,4447.63,75.0,9,2021,Monday,Q3,Fall,2021-06-28,91,132.37,0.0887793427230047,84.63,434,264.74,2.1282051282051286,5
ORD010064,2023-07-17,CUST01550,33,Female,Aswan,Upper Egypt,6997,Health,Personal Care,440,1,20,352.0,Bank Transfer,Budget,Flash Sale,Direct,Mobile,Store Pickup,4.0,False,TV Ad,2534.4,85.0,7,2023,Monday,Q3,Summer,2021-11-04,620,352.0,0.11804158283031523,88.0,440,352.0,3.0,8
ORD010065,2022-01-31,CUST01492,26,Male,Giza,Greater Cairo,14127,Health,Supplements,893,6,15,4554.3,Credit Card,VIP,New Year,Influencer,Mobile,Same Day,4.6,False,Print Ad,163954.8,70.0,1,2022,Monday,Q1,Winter,2021-11-19,73,759.0500000000001,1.5272635814889337,133.95,5358,4554.3,33.00000000000001,6
ORD010066,2023-07-12,CUST02844,34,Male,Ismailia,Suez Canal,4626,Health,Pharmacy,854,6,17,4252.92,Cash on Delivery,Budget,Flash Sale,Radio,Mobile,Store Pickup,4.2,False,Social Media,214347.17,63.0,7,2023,Wednesday,Q3,Summer,2021-06-14,758,708.82,1.4261971830985916,145.18,5124,4252.92,28.29411764705882,8
ORD010067,2021-02-17,CUST01063,38,Male,Alexandria,Alexandria,14760,Electronics,Smartphones,1459,3,0,4377.0,Credit Card,VIP,No Campaign,Search Engine,Mobile,Same Day,4.3,False,TV Ad,173329.2,66.0,2,2021,Wednesday,Q1,Winter,2021-01-28,20,1459.0,1.4678068410462777,0.0,4377,4377.0,inf,6
ORD010068,2024-01-29,CUST00092,21,Male,Sohag,Upper Egypt,4152,Software,Education,178,4,21,562.48,Mobile Payment,Budget,New Year,Search Engine,Mobile,Standard,4.2,False,Direct,27674.02,73.0,1,2024,Monday,Q1,Winter,2021-07-25,918,140.62,0.18862508383635146,37.38,712,562.48,14.047619047619047,5
ORD010069,2021-11-28,CUST02610,33,Female,Giza,Greater Cairo,6873,Clothing,Formal,157,2,9,285.74,Digital Wallet,Regular,Black Friday,Search Engine,Mobile,Store Pickup,4.1,False,Social Media,14744.18,68.0,11,2021,Sunday,Q4,Fall,2021-11-25,3,142.87,0.09582159624413146,14.13,314,285.74,19.22222222222222,7
ORD010070,2023-05-29,CUST02573,54,Female,Suez,Suez Canal,5524,Toys,Board Games,505,3,0,1515.0,Credit Card,Budget,No Campaign,Search Engine,Tablet,Standard,4.0,False,Direct,61812.0,58.0,5,2023,Monday,Q2,Spring,2021-12-30,515,505.0,0.5080482897384306,0.0,1515,1515.0,inf,2
ORD010071,2023-12-02,CUST00122,63,Female,Alexandria,Alexandria,10738,Beauty,Skincare,744,2,34,982.08,Digital Wallet,Premium,Black Friday,Mobile App,Tablet,Same Day,4.0,False,Organic Search,3535.49,62.0,12,2023,Saturday,Q4,Winter,2021-04-28,948,491.04,0.3293360160965795,252.96,1488,982.08,2.8823529411764706,8
ORD010072,2023-12-14,CUST00463,20,Male,Sharm El Sheikh,Red Sea,7478,Toys,Dolls,459,1,26,339.66,Buy Now Pay Later,Regular,Black Friday,Social Media,Mobile,Standard,4.5,False,Organic Search,2037.96,77.0,12,2023,Thursday,Q4,Winter,2021-05-18,940,339.66,0.11390342052313884,119.34,459,339.66,1.8461538461538463,3
ORD010073,2022-10-28,CUST00343,38,Male,Luxor,Upper Egypt,7104,Home & Garden,Furniture,2039,2,36,2609.92,Cash on Delivery,Regular,Flash Sale,Outdoor,Mobile,Store Pickup,4.3,False,Referral,90825.22,83.0,10,2022,Friday,Q4,Fall,2021-04-21,555,1304.96,0.8752246814218645,734.04,4078,2609.92,2.555555555555556,7
ORD010074,2023-04-10,CUST01415,55,Male,Ismailia,Suez Canal,7083,Food,Dairy,23,8,0,184.0,Debit Card,Regular,No Campaign,Influencer,Mobile,Express,3.8,False,Organic Search,4857.6,62.0,4,2023,Monday,Q2,Spring,2021-09-07,580,23.0,0.06170355466130114,0.0,184,184.0,inf,5
ORD010075,2023-05-20,CUST02904,42,Female,Giza,Greater Cairo,7790,Books,Children,273,4,0,1092.0,Mobile Payment,Budget,No Campaign,Outdoor,Tablet,Standard,3.1,False,Email,10483.2,40.0,5,2023,Saturday,Q2,Spring,2021-03-18,793,273.0,0.36619718309859156,0.0,1092,1092.0,inf,8
ORD010076,2023-10-19,CUST00135,64,Female,Alexandria,Alexandria,15307,Books,Religion,340,2,31,469.2,Digital Wallet,Premium,Flash Sale,Search Engine,Mobile,Express,4.7,False,Paid Search,12949.92,89.0,10,2023,Thursday,Q4,Fall,2021-11-09,709,234.6,0.1573440643863179,105.4,680,469.2,3.451612903225806,5
ORD010077,2022-06-20,CUST02492,36,Female,Zagazig,Delta,9372,Clothing,Formal,1202,3,0,3606.0,Mobile Payment,Regular,No Campaign,Mobile App,Mobile,Express,3.4,False,TV Ad,164433.6,51.0,6,2022,Monday,Q2,Summer,2021-09-26,267,1202.0,1.2092555331991952,0.0,3606,3606.0,inf,7
ORD010078,2023-07-26,CUST02436,21,Female,Mansoura,Delta,7271,Books,Religion,100,3,28,216.0,Credit Card,Regular,Summer Sale,Referral,Mobile,Standard,3.6,False,Organic Search,10108.8,60.0,7,2023,Wednesday,Q3,Summer,2021-12-18,585,72.0,0.07243460764587525,28.0,300,216.0,6.714285714285714,5
